Date,Invoice No,Product Name,Category,Batch No,Expiry Date,Quantity,Unit Price,Total Sales,Distributor,City,Branch,Sales Rep,Payment Status
2025-05-14 00:00:00,INV-5469,Paracetamol 500mg,Capsule,B-30,2025-12-02,762,70.2,53492.4,HealthPlus,Ahmedabad,Branch A,Neha,
2025-04-30 00:00:00,INV-4108,Paracetamol 500mg,Tablet,B-3,2025-09-14,286,10.14,2900.04,Medico Supplies,Vadodara,Branch A,Raj,
2025-10-22 00:00:00,INV-7145,Paracetamol 500mg,Syrup,B-25,2025-01-09,794,88.9,70586.6,HealthPlus,Ahmedabad,Branch B,Raj,Partial
2025-03-16 00:00:00,INV-4863,Azithromycin 250mg,Capsule,B-35,2025-07-20,617,14.34,8847.78,Care Distributors,Ahmedabad,Branch B,Neha,Pending
2025-08-01 00:00:00,INV-6424,Vitamin D Capsules,Syrup,B-24,2025-05-01,890,66.3,59007.0,Care Distributors,Vadodara,Branch A,Neha,
2025-09-03 00:00:00,INV-4521,Vitamin D Capsules,Tablet,B-28,2025-11-18,283,1.11,314.13000000000005,Medico Supplies,Ahmedabad,Branch A,Neha,Pending
2025-05-16 00:00:00,INV-6595,Ibuprofen 400mg,Tablet,B-41,2025-08-11,420,7.19,3019.8,HealthPlus,Ahmedabad,Branch B,Neha,Partial
2025-01-27 00:00:00,INV-5579,Vitamin D Capsules,Tablet,B-14,2025-01-27,316,26.72,8443.52,HealthPlus,Vadodara,Branch A,Amit,
2025-07-03 00:00:00,INV-1947,Ibuprofen 400mg,Syrup,B-8,2025-03-26,400,95.89,38356.0,ABC Pharma,Ahmedabad,Branch B,Amit,Partial
2025-05-13 00:00:00,INV-6017,Paracetamol 500mg,Syrup,B-10,2025-07-06,690,71.51,49341.9,Medico Supplies,Ahmedabad,Branch A,Neha,Paid
2025-01-31 00:00:00,INV-9579,Cough Syrup,Syrup,B-22,2025-12-28,293,70.97,20794.21,Medico Supplies,Ahmedabad,Branch A,Amit,Paid
2025-06-26 00:00:00,INV-1970,Vitamin D Capsules,Capsule,B-35,2025-09-12,421,57.13,,HealthPlus,Ahmedabad,Branch B,Neha,
2025-07-09 00:00:00,INV-8483,Ibuprofen 400mg,Syrup,B-35,2025-08-24,422,66.26,27961.72,HealthPlus,Ahmedabad,Branch B,Raj,Paid
2025-11-10 00:00:00,INV-5090,Vitamin D Capsules,Syrup,B-46,2025-01-01,267,55.51,14821.17,ABC Pharma,Vadodara,Branch A,Amit,
2025-01-14 00:00:00,INV-8240,Paracetamol 500mg,Capsule,B-48,2025-03-03,563,2.69,1514.47,Care Distributors,Vadodara,Branch B,Raj,Pending
2025-05-03 00:00:00,INV-6306,Vitamin D Capsules,Syrup,B-22,2025-09-07,203,38.81,7878.43,Medico Supplies,Ahmedabad,Branch A,Priya,Partial
2025-02-22 00:00:00,INV-4436,Ibuprofen 400mg,Tablet,B-29,2025-08-23,769,58.97,45347.93,Care Distributors,Ahmedabad,Branch B,Raj,Paid
2025-02-10 00:00:00,INV-7246,Azithromycin 250mg,Capsule,B-21,2025-11-26,539,31.73,17102.47,Medico Supplies,Vadodara,Branch A,Raj,
2025-09-11 00:00:00,INV-1679,Cough Syrup,Syrup,B-41,2025-03-17,48,95.41,4579.68,HealthPlus,Vadodara,Branch B,Priya,
2025-08-16 00:00:00,INV-1527,Paracetamol 500mg,Syrup,B-16,2025-11-16,88,79.77,7019.759999999999,ABC Pharma,Ahmedabad,Branch A,Raj,Partial
2025-11-13 00:00:00,INV-4058,Azithromycin 250mg,Syrup,B-11,2025-03-13,757,16.74,12672.179999999998,Medico Supplies,Ahmedabad,Branch A,Priya,Pending
,INV-7617,Cough Syrup,Tablet,B-32,2025-07-11,553,5.83,,Care Distributors,Vadodara,Branch A,Priya,Partial
2025-06-12 00:00:00,INV-9138,Paracetamol 500mg,Syrup,B-3,2025-11-27,353,76.34,26948.02,Medico Supplies,Vadodara,Branch B,Amit,Paid
2025-03-28 00:00:00,INV-1165,Vitamin D Capsules,Tablet,B-6,2025-08-22,600,4.48,2688.0000000000005,HealthPlus,Vadodara,Branch B,Amit,Paid
2025-04-23 00:00:00,INV-2374,Cough Syrup,Capsule,B-7,2025-06-23,622,27.3,16980.600000000002,HealthPlus,Ahmedabad,Branch B,Raj,Paid
2025-04-30 00:00:00,INV-2830,Azithromycin 250mg,Capsule,B-18,2025-08-28,878,19.88,17454.64,Care Distributors,Vadodara,Branch A,Raj,Paid
2025-07-09 00:00:00,INV-5389,Cough Syrup,Capsule,B-11,2025-06-08,586,48.52,28432.72,HealthPlus,Ahmedabad,Branch B,Amit,
2025-08-20 00:00:00,INV-8393,Vitamin D Capsules,Tablet,B-27,2025-04-01,358,31.06,11119.48,ABC Pharma,Ahmedabad,Branch A,Raj,Paid
2025-10-23 00:00:00,INV-9861,Ibuprofen 400mg,Tablet,B-37,2025-03-06,841,78.86,66321.26,Medico Supplies,Vadodara,Branch B,Priya,Pending
2025-12-17 00:00:00,INV-3425,Paracetamol 500mg,Capsule,B-3,2025-06-02,880,55.13,48514.4,HealthPlus,Ahmedabad,Branch A,Raj,Pending
2025-07-20 00:00:00,INV-9431,Azithromycin 250mg,Tablet,B-39,2025-06-23,566,79.21,44832.85999999999,Care Distributors,Vadodara,Branch B,Raj,Pending
2025-12-02 00:00:00,INV-8251,Azithromycin 250mg,Tablet,B-8,2025-03-04,190,74.26,14109.400000000001,ABC Pharma,Vadodara,Branch B,Neha,Partial
2025-03-27 00:00:00,INV-2850,Paracetamol 500mg,Capsule,B-8,2025-01-05,661,35.99,23789.390000000003,Care Distributors,Vadodara,Branch A,Amit,
2025-05-18 00:00:00,INV-2667,Cough Syrup,Tablet,B-30,2025-05-18,171,24.48,4186.08,Medico Supplies,Ahmedabad,Branch A,Priya,
2025-12-23 00:00:00,INV-4413,Azithromycin 250mg,Capsule,B-24,2025-03-20,168,45.9,7711.2,HealthPlus,Vadodara,Branch A,Priya,Paid
2025-09-07 00:00:00,INV-3224,Cough Syrup,Tablet,B-3,2025-08-24,247,51.8,12794.599999999999,Care Distributors,Vadodara,Branch B,Priya,Paid
2025-11-13 00:00:00,INV-4246,Vitamin D Capsules,Tablet,B-24,2025-11-04,355,72.78,25836.9,ABC Pharma,Vadodara,Branch A,Raj,Partial
2025-12-06 00:00:00,INV-5020,Ibuprofen 400mg,Syrup,B-35,2025-04-07,590,85.4,50386.0,HealthPlus,Ahmedabad,Branch A,Priya,Pending
2025-01-28 00:00:00,INV-7739,Vitamin D Capsules,Syrup,B-42,2025-04-19,512,61.56,31518.72,ABC Pharma,Vadodara,Branch A,Raj,Partial
2025-02-04 00:00:00,INV-4098,Vitamin D Capsules,Syrup,B-2,2025-06-17,255,57.41,14639.55,Medico Supplies,Ahmedabad,Branch A,Amit,Pending
2025-01-28 00:00:00,INV-4460,Paracetamol 500mg,Syrup,B-48,2025-03-15,47,31.37,1474.39,Medico Supplies,Ahmedabad,Branch B,Priya,Paid
2025-07-03 00:00:00,INV-4717,Paracetamol 500mg,Capsule,B-19,2025-11-12,800,46.53,37224.0,Care Distributors,Vadodara,Branch A,Raj,Paid
2025-11-16 00:00:00,INV-6021,Paracetamol 500mg,Capsule,B-29,2025-04-08,689,81.01,55815.89000000001,Medico Supplies,Ahmedabad,Branch B,Neha,
2025-12-19 00:00:00,INV-8434,Cough Syrup,Syrup,B-6,2025-10-25,738,17.67,13040.460000000001,ABC Pharma,Ahmedabad,Branch A,Raj,
2025-04-26 00:00:00,INV-2883,Cough Syrup,Syrup,B-5,2025-06-06,448,38.47,17234.559999999998,Medico Supplies,Ahmedabad,Branch B,Amit,Paid
2025-01-27 00:00:00,INV-5007,Azithromycin 250mg,Tablet,B-26,2025-03-01,767,57.13,43818.71,Medico Supplies,Vadodara,Branch A,Amit,
2025-06-25 00:00:00,INV-4072,Vitamin D Capsules,Syrup,B-28,2025-08-10,623,24.95,15543.85,Medico Supplies,Ahmedabad,Branch B,Neha,Paid
2025-02-03 00:00:00,INV-2287,Ibuprofen 400mg,Tablet,B-29,2025-01-26,921,99.84,,HealthPlus,Vadodara,Branch B,Raj,Partial
2025-06-12 00:00:00,INV-6365,Vitamin D Capsules,Syrup,B-1,2025-08-04,806,33.08,26662.48,ABC Pharma,Ahmedabad,Branch A,Raj,Partial
2025-08-06 00:00:00,INV-3518,Vitamin D Capsules,Tablet,B-37,2025-12-08,699,66.23,46294.770000000004,ABC Pharma,Vadodara,Branch A,Amit,
2025-09-25 00:00:00,INV-5526,Paracetamol 500mg,Capsule,B-32,2025-04-20,870,50.47,43908.9,HealthPlus,Vadodara,Branch B,Amit,Partial
2025-09-29 00:00:00,INV-4562,Azithromycin 250mg,Capsule,B-8,2025-03-09,403,12.87,5186.61,HealthPlus,Ahmedabad,Branch B,Raj,
2025-05-09 00:00:00,INV-9803,Paracetamol 500mg,Tablet,B-29,2025-01-17,682,65.11,44405.02,Medico Supplies,Vadodara,Branch B,Neha,
2025-10-13 00:00:00,INV-7881,Azithromycin 250mg,Tablet,B-37,2025-03-18,17,25.74,,Medico Supplies,Vadodara,Branch A,Priya,Partial
,INV-9901,Vitamin D Capsules,Tablet,B-43,2026-01-01,869,21.91,,Care Distributors,Ahmedabad,Branch A,Amit,Partial
